학년도,시험종류,exam_key,과목,원본페이지,페이지수,예상문항수,추출문항수,정답연결수,검토필요수,오류수,누락번호,중복번호,제목인식신뢰도,시험경고
2014,JUNE,2014_JUNE_LIFE_ETHICS,LIFE_ETHICS,1-4,4,20,20,0,0,0,,,1.0,
2014,SEPTEMBER,2014_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,5-8,4,20,20,0,1,0,,,1.0,
2014,CSAT,2014_CSAT_LIFE_ETHICS,LIFE_ETHICS,9-12,4,20,20,0,2,0,,,1.0,
2015,JUNE,2015_JUNE_LIFE_ETHICS,LIFE_ETHICS,13-16,4,20,20,0,2,0,,,1.0,
2015,SEPTEMBER,2015_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,17-20,4,20,20,0,2,0,,,1.0,
2015,CSAT,2015_CSAT_LIFE_ETHICS,LIFE_ETHICS,21-24,4,20,20,0,2,0,,,1.0,
2016,JUNE,2016_JUNE_LIFE_ETHICS,LIFE_ETHICS,25-28,4,20,20,0,4,0,,,1.0,
2016,SEPTEMBER,2016_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,29-32,4,20,20,0,1,0,,,0.778,
2016,CSAT,2016_CSAT_LIFE_ETHICS,LIFE_ETHICS,33-36,4,20,20,0,1,0,,,1.0,
2017,JUNE,2017_JUNE_LIFE_ETHICS,LIFE_ETHICS,37-40,4,20,20,0,1,0,,,1.0,
2017,SEPTEMBER,2017_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,41-44,4,20,20,0,0,0,,,1.0,
2017,CSAT,2017_CSAT_LIFE_ETHICS,LIFE_ETHICS,45-48,4,20,20,0,2,0,,,0.889,
2018,JUNE,2018_JUNE_LIFE_ETHICS,LIFE_ETHICS,49-52,4,20,20,0,0,0,,,1.0,
2018,SEPTEMBER,2018_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,53-56,4,20,20,0,0,0,,,1.0,
2018,CSAT,2018_CSAT_LIFE_ETHICS,LIFE_ETHICS,57-60,4,20,20,0,1,0,,,1.0,
2019,JUNE,2019_JUNE_LIFE_ETHICS,LIFE_ETHICS,61-64,4,20,20,0,2,0,,,1.0,
2019,SEPTEMBER,2019_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,65-68,4,20,20,0,1,0,,,1.0,
2019,CSAT,2019_CSAT_LIFE_ETHICS,LIFE_ETHICS,69-72,4,20,20,0,0,0,,,1.0,
2020,JUNE,2020_JUNE_LIFE_ETHICS,LIFE_ETHICS,73-76,4,20,20,0,1,0,,,1.0,
2020,SEPTEMBER,2020_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,77-80,4,20,20,0,1,0,,,1.0,
2020,CSAT,2020_CSAT_LIFE_ETHICS,LIFE_ETHICS,81-84,4,20,20,0,2,0,,,1.0,
2021,JUNE,2021_JUNE_LIFE_ETHICS,LIFE_ETHICS,85-88,4,20,20,0,2,0,,,1.0,
2021,SEPTEMBER,2021_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,89-92,4,20,20,0,2,0,,,1.0,
2021,CSAT,2021_CSAT_LIFE_ETHICS,LIFE_ETHICS,93-96,4,20,20,0,5,0,,,1.0,
2022,JUNE,2022_JUNE_LIFE_ETHICS,LIFE_ETHICS,97-100,4,20,20,0,6,0,,,1.0,
2022,SEPTEMBER,2022_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,101-104,4,20,20,0,2,0,,,1.0,
2022,CSAT,2022_CSAT_LIFE_ETHICS,LIFE_ETHICS,105-108,4,20,20,0,6,0,,,1.0,
2023,JUNE,2023_JUNE_LIFE_ETHICS,LIFE_ETHICS,109-112,4,20,20,0,5,0,,,0.667,
2023,SEPTEMBER,2023_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,113-116,4,20,20,0,5,0,,,0.667,
2023,CSAT,2023_CSAT_LIFE_ETHICS,LIFE_ETHICS,117-120,4,20,20,0,4,0,,,0.667,
2024,JUNE,2024_JUNE_LIFE_ETHICS,LIFE_ETHICS,121-124,4,20,20,0,6,0,,,1.0,
2024,SEPTEMBER,2024_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,125-128,4,20,20,0,2,0,,,1.0,
2024,CSAT,2024_CSAT_LIFE_ETHICS,LIFE_ETHICS,129-132,4,20,20,0,2,0,,,0.889,
2025,JUNE,2025_JUNE_LIFE_ETHICS,LIFE_ETHICS,133-136,4,20,20,0,6,0,,,0.778,
2025,SEPTEMBER,2025_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,137-140,4,20,20,0,6,0,,,0.778,
2025,CSAT,2025_CSAT_LIFE_ETHICS,LIFE_ETHICS,141-144,4,20,20,0,3,0,,,0.889,
2026,JUNE,2026_JUNE_LIFE_ETHICS,LIFE_ETHICS,145-148,4,20,20,0,1,0,,,1.0,
2027,SEPTEMBER,2027_SEPTEMBER_LIFE_ETHICS,LIFE_ETHICS,149-152,4,20,20,0,2,0,,,1.0,
2027,JUNE,2027_JUNE_LIFE_ETHICS,LIFE_ETHICS,153-156,4,20,20,0,4,0,,,1.0,
2026,CSAT,2026_CSAT_LIFE_ETHICS,LIFE_ETHICS,157-160,4,20,20,0,3,0,,,0.667,
